side,interval,ce,mean_infected,sdv_infected,p20,sdv20,p25,sdv25,p30,sdv30,p35,sdv35,p40,sdv40,p45,sdv45,p50,sdv50
10,30,9,229.95,10.7521,1.0,0.0,0.9296,0.042,0.8577,0.0565,0.788,0.068,0.7272,0.071,0.6798,0.0713,0.6474,0.0676
10,30,7,225.99,11.3433,1.0,0.0,0.93,0.0425,0.858,0.0563,0.788,0.068,0.7272,0.0713,0.6798,0.0713,0.6472,0.0677
10,30,5,219.46,11.1485,1.0,0.0,0.93,0.0425,0.8583,0.0564,0.7877,0.0674,0.7275,0.0715,0.68,0.0713,0.6476,0.0673
10,30,3,209.7,10.9549,1.0,0.0,0.9308,0.0423,0.859,0.0565,0.7883,0.0679,0.727,0.0713,0.6796,0.0706,0.6454,0.0675
10,30,1,203.99,11.546,1.0,0.0,0.9312,0.0427,0.8607,0.057,0.79,0.0686,0.7285,0.0718,0.6813,0.0708,0.6458,0.0684
20,1,10,87.05,14.4239,1.0,0.0,0.972,0.0337,0.9273,0.0542,0.87,0.0669,0.811,0.07,0.7698,0.0747,0.7436,0.0755
20,1,9,87.05,14.4239,1.0,0.0,0.972,0.0337,0.9273,0.0542,0.87,0.0669,0.811,0.07,0.7696,0.0747,0.7442,0.0748
20,1,7,87.05,14.4239,1.0,0.0,0.972,0.0337,0.9273,0.0542,0.87,0.0669,0.811,0.0707,0.7698,0.0749,0.7436,0.0755
20,1,5,87.05,14.4239,1.0,0.0,0.972,0.0337,0.9273,0.0542,0.87,0.0669,0.8113,0.0701,0.7696,0.0745,0.7442,0.0745
20,1,3,86.42,14.5039,1.0,0.0,0.972,0.0337,0.928,0.0543,0.8703,0.0667,0.8118,0.07,0.7704,0.0743,0.744,0.0744
20,1,1,64.2,13.3507,1.0,0.0,0.974,0.0322,0.9303,0.0527,0.8734,0.0644,0.812,0.0688,0.774,0.0679,0.7538,0.0623
20,5,10,142.95,12.7839,1.0,0.0,0.948,0.039,0.8877,0.0559,0.8206,0.065,0.7578,0.0654,0.714,0.0689,0.6762,0.0672
20,5,9,142.95,12.7839,1.0,0.0,0.948,0.039,0.8877,0.0559,0.8209,0.0649,0.7575,0.0655,0.7144,0.0691,0.6764,0.0676
20,5,7,142.95,12.7839,1.0,0.0,0.948,0.039,0.8877,0.0559,0.8209,0.0649,0.7573,0.0658,0.7147,0.0688,0.6758,0.0672
20,5,5,142.95,12.7839,1.0,0.0,0.948,0.039,0.8877,0.0559,0.8206,0.065,0.757,0.0661,0.7142,0.0691,0.676,0.0673
20,5,3,142.95,12.7839,1.0,0.0,0.948,0.039,0.888,0.0553,0.8206,0.065,0.7575,0.0656,0.7136,0.0691,0.676,0.0672
20,5,1,142.95,12.7839,1.0,0.0,0.948,0.039,0.888,0.0553,0.8206,0.065,0.7575,0.0656,0.7133,0.0691,0.676,0.0672
20,10,10,175.81,11.8065,1.0,0.0,0.9444,0.0396,0.8783,0.0584,0.8117,0.0668,0.7468,0.0679,0.6938,0.0706,0.656,0.0685
20,10,9,175.86,11.8372,1.0,0.0,0.9444,0.0396,0.8787,0.0578,0.8117,0.0668,0.7468,0.0679,0.6936,0.0706,0.6558,0.0688
20,10,7,175.94,11.7404,1.0,0.0,0.944,0.04,0.8783,0.058,0.8111,0.067,0.7473,0.0677,0.6933,0.0709,0.6554,0.069
20,10,5,175.92,11.7624,1.0,0.0,0.944,0.04,0.8783,0.058,0.8111,0.067,0.747,0.0677,0.6929,0.0709,0.6554,0.0688
20,10,3,175.92,11.7624,1.0,0.0,0.944,0.04,0.8783,0.058,0.8111,0.067,0.747,0.0677,0.6927,0.0706,0.6554,0.069
20,10,1,175.92,11.7624,1.0,0.0,0.944,0.04,0.8783,0.058,0.8111,0.067,0.747,0.0677,0.6929,0.0709,0.6554,0.0688
20,15,10,198.15,11.2298,1.0,0.0,0.9396,0.0394,0.874,0.0553,0.802,0.0681,0.7357,0.0722,0.6844,0.072,0.6472,0.0705
